date,is_festive_season,festival_name,harvest_season_type
2019_12_05,0,None,Zaid Lean Season
2019_12_06,0,None,Zaid Lean Season
2019_12_07,0,None,Zaid Lean Season
2019_12_08,0,None,Zaid Lean Season
2019_12_09,0,None,Zaid Lean Season
2019_12_10,0,None,Zaid Lean Season
2019_12_11,0,None,Zaid Lean Season
2019_12_12,0,None,Zaid Lean Season
2019_12_13,0,None,Zaid Lean Season
2019_12_14,0,None,Zaid Lean Season
2019_12_15,0,None,Zaid Lean Season
2019_12_16,0,None,Zaid Lean Season
2019_12_17,0,None,Zaid Lean Season
2019_12_18,0,None,Zaid Lean Season
2019_12_19,0,None,Zaid Lean Season
2019_12_20,0,None,Zaid Lean Season
2019_12_21,0,None,Zaid Lean Season
2019_12_22,0,None,Zaid Lean Season
2019_12_23,0,None,Zaid Lean Season
2019_12_24,0,None,Zaid Lean Season
2019_12_25,1,Christmas,Zaid Lean Season
2019_12_26,0,None,Zaid Lean Season
2019_12_27,0,None,Zaid Lean Season
2019_12_28,0,None,Zaid Lean Season
2019_12_29,0,None,Zaid Lean Season
2019_12_30,0,None,Zaid Lean Season
2019_12_31,0,None,Zaid Lean Season
2020_01_01,0,None,Zaid Lean Season
2020_01_02,0,None,Zaid Lean Season
2020_01_03,0,None,Zaid Lean Season
2020_01_04,0,None,Zaid Lean Season
2020_01_05,0,None,Zaid Lean Season
2020_01_06,0,None,Zaid Lean Season
2020_01_07,0,None,Zaid Lean Season
2020_01_08,0,None,Zaid Lean Season
2020_01_09,0,None,Zaid Lean Season
2020_01_10,0,None,Zaid Lean Season
2020_01_11,0,None,Zaid Lean Season
2020_01_12,0,None,Zaid Lean Season
2020_01_13,0,None,Zaid Lean Season
2020_01_14,0,None,Zaid Lean Season
2020_01_15,0,None,Zaid Lean Season
2020_01_16,0,None,Zaid Lean Season
2020_01_17,0,None,Zaid Lean Season
2020_01_18,0,None,Zaid Lean Season
2020_01_19,0,None,Zaid Lean Season
2020_01_20,0,None,Zaid Lean Season
2020_01_21,0,None,Zaid Lean Season
2020_01_22,0,None,Zaid Lean Season
2020_01_23,0,None,Zaid Lean Season
2020_01_24,0,None,Zaid Lean Season
2020_01_25,0,None,Zaid Lean Season
2020_01_26,1,Republic Day,Zaid Lean Season
2020_01_27,0,None,Zaid Lean Season
2020_01_28,0,None,Zaid Lean Season
2020_01_29,0,None,Zaid Lean Season
2020_01_30,0,None,Zaid Lean Season
2020_01_31,0,None,Zaid Lean Season
2020_02_01,0,None,Zaid Lean Season
2020_02_02,0,None,Zaid Lean Season
2020_02_03,0,None,Zaid Lean Season
2020_02_04,0,None,Zaid Lean Season
2020_02_05,0,None,Zaid Lean Season
2020_02_06,0,None,Zaid Lean Season
2020_02_07,0,None,Zaid Lean Season
2020_02_08,0,None,Zaid Lean Season
2020_02_09,0,None,Zaid Lean Season
